,id,first_name,height_feet,height_inches,last_name,position,team,weight_pounds
64,537,Walter,,,Palmer,,Utah Jazz,
65,538,Mark,,,West,,Phoenix Suns,
66,539,Clifford,,,Robinson,,Portland Trail Blazers,
67,540,Hakeem,,,Olajuwon,,Houston Rockets,
68,541,Richard,,,Coffey,,Minnesota Timberwolves,
69,542,James,,,Donaldson,,Dallas Mavericks,
70,543,Jerome,,,Lane,,Denver Nuggets,
71,544,Sarunas,,,Marciulionis,,Golden State Warriors,
72,545,Grant,,,Long,,Miami Heat,
73,546,Willie,,,Burton,,Miami Heat,
74,547,Mark,,,Alarie,,Washington Wizards,
75,548,Winston,,,Bennett,,Cleveland Cavaliers,
76,549,Doc,,,Rivers,,Atlanta Hawks,
77,550,Tim,,,McCormick,,Atlanta Hawks,
78,551,Scott,,,Skiles,,Orlando Magic,
79,552,Dennis,,,Rodman,,Detroit Pistons,
80,553,Greg,,,Anderson,,Milwaukee Bucks,
81,554,Jeff,,,Malone,,Utah Jazz,
82,555,Cedric,,,Ceballos,,Phoenix Suns,
83,556,Tim,,,Perry,,Phoenix Suns,
84,557,Buck,,,Williams,,Portland Trail Blazers,
85,558,Dave,,,Jamerson,,Houston Rockets,
86,559,Scott,,,Brooks,,Minnesota Timberwolves,
87,560,Rolando,,,Blackman,,Dallas Mavericks,
88,561,Avery,,,Johnson,,Denver Nuggets,
89,562,Rod,,,Higgins,,Golden State Warriors,
90,563,Jon,,,Sundvold,,Miami Heat,
91,564,A.J.,,,English,,Washington Wizards,
92,565,John,,,Battle,,Atlanta Hawks,
93,566,Sam,,,Vincent,,Orlando Magic,
94,567,Isiah,,,Thomas,,Detroit Pistons,
95,568,Brad,,,Lohaus,,Milwaukee Bucks,
96,569,Mike,,,Brown,,Utah Jazz,
97,570,Kenny,,,Battle,,Phoenix Suns,
98,571,Danny,,,Young,,Portland Trail Blazers,
99,572,Larry,,,Smith,,Houston Rockets,
100,573,Pooh,,,Richardson,,Minnesota Timberwolves,
101,574,Derek,,,Harper,,Dallas Mavericks,
102,575,Michael,,,Adams,,Denver Nuggets,
103,576,Tim,,,Hardaway,,Golden State Warriors,
104,577,Bimbo,,,Coles,,Miami Heat,
105,578,Darrell,,,Walker,,Washington Wizards,
106,579,Kevin,,,Willis,,Atlanta Hawks,
107,580,Otis,,,Smith,,Orlando Magic,
108,581,James,,,Edwards,,Detroit Pistons,
109,582,Frank,,,Brickowski,,Milwaukee Bucks,
110,583,Karl,,,Malone,,Utah Jazz,
111,584,Ian,,,Lockhart,,Phoenix Suns,
112,585,Kevin,,,Duckworth,,Portland Trail Blazers,
113,586,Otis,,,Thorpe,,Houston Rockets,
114,587,Gerald,,,Glass,,Minnesota Timberwolves,
115,588,Alex,,,English,,Dallas Mavericks,
116,589,T.R.,,,Dunn,,Denver Nuggets,
117,590,Alton,,,Lister,,Golden State Warriors,
118,591,Sherman,,,Douglas,,Miami Heat,
119,592,Charles,,,Jones,,Washington Wizards,
120,593,Moses,,,Malone,,Atlanta Hawks,
121,594,Mark,,,Acres,,Orlando Magic,
122,595,Lance,,,Blanks,,Detroit Pistons,
123,596,Jeff,,,Grayer,,Milwaukee Bucks,
124,597,Chris,,,Munk,,Utah Jazz,
125,598,Jeff,,,Hornacek,,Phoenix Suns,
126,599,Jerome,,,Kersey,,Portland Trail Blazers,
127,600,Dave,,,Feitl,,Houston Rockets,
128,601,Tod,,,Murphy,,Minnesota Timberwolves,
129,602,Lafayette,,,Lever,,Dallas Mavericks,
130,603,Corey,,,Gaines,,Denver Nuggets,
131,604,Mitch,,,Richmond,,Golden State Warriors,
132,605,Kevin,,,Edwards,,Miami Heat,
133,606,Haywoode,,,Workman,,Washington Wizards,
134,607,Tom,,,Hammonds,,Washington Wizards,
135,608,Rumeal,,,Robinson,,Atlanta Hawks,
136,609,Greg,,,Kite,,Orlando Magic,
137,610,Vinnie,,,Johnson,,Detroit Pistons,
138,611,Jack,,,Sikma,,Milwaukee Bucks,
139,612,Delaney,,,Rudd,,Utah Jazz,
140,613,Ed,,,Nealy,,Phoenix Suns,
141,614,Wayne,,,Cooper,,Portland Trail Blazers,
142,615,Sleepy,,,Floyd,,Houston Rockets,
143,616,Felton,,,Spencer,,Minnesota Timberwolves,
144,617,Tyrone,,,Corbin,,Minnesota Timberwolves,
145,618,Marcus,,,Liberty,,Denver Nuggets,
146,619,Walter,,,Davis,,Denver Nuggets,
147,620,Tyrone,,,Hill,,Golden State Warriors,
148,621,Alec,,,Kessler,,Miami Heat,
149,622,Terry,,,Davis,,Miami Heat,
150,623,Larry,,,Robinson,,Washington Wizards,
151,624,Sidney,,,Moncrief,,Atlanta Hawks,
152,625,Jeff,,,Turner,,Orlando Magic,
153,626,Scott,,,Hastings,,Detroit Pistons,
154,627,Alvin,,,Robertson,,Milwaukee Bucks,
155,628,Steve,,,Henson,,Milwaukee Bucks,
156,629,Andy,,,Toolson,,Utah Jazz,
157,630,Thurl,,,Bailey,,Utah Jazz,
158,631,Kurt,,,Rambis,,Phoenix Suns,
159,632,Clyde,,,Drexler,,Portland Trail Blazers,
160,633,David,,,Wood,,Houston Rockets,
161,634,Sam,,,Mitchell,,Minnesota Timberwolves,
162,635,Rodney,,,McCray,,Dallas Mavericks,
163,636,Blair,,,Rasmussen,,Denver Nuggets,
164,637,Kevin,,,Pritchard,,Golden State Warriors,
165,638,Milt,,,Wagner,,Miami Heat,
166,639,Bernard,,,King,,Washington Wizards,
167,640,Roy,,,Hinson,,Brooklyn Nets,
168,641,Matt,,,Bullard,,Houston Rockets,
169,642,Alan,,,Ogg,,Miami Heat,
170,643,Kevin,,,Lynch,,Charlotte Hornets,
171,644,Larry,,,Krystkowiak,,Milwaukee Bucks,
172,645,Pete,,,Chilcutt,,Sacramento Kings,
173,646,Randy,,,Brown,,Sacramento Kings,
174,647,Elliot,,,Perry,,LA Clippers,
175,648,Jimmy,,,Oliver,,Cleveland Cavaliers,
176,649,Terrell,,,Brandon,,Cleveland Cavaliers,
177,650,Greg,,,Sutton,,San Antonio Spurs,
178,651,Tom,,,Copa,,San Antonio Spurs,
179,652,Donald,,,Hodge,,Dallas Mavericks,
180,653,Joao,,,Vianna,,Dallas Mavericks,
181,654,Mike,,,Iuzzolino,,Dallas Mavericks,
182,655,Greg,,,Anthony,,New York Knicks,
183,656,Albert,,,King,,Washington Wizards,
184,657,Tellis,,,Frank,,Minnesota Timberwolves,
185,658,David,,,Benoit,,Utah Jazz,
186,659,Demetrius,,,Calip,,Los Angeles Lakers,
187,660,Dikembe,,,Mutombo,,Denver Nuggets,
188,661,Mark,,,Macon,,Denver Nuggets,
189,662,Chris,,,Gatling,,Golden State Warriors,
190,663,Victor,,,Alexander,,Golden State Warriors,
191,664,Mark,,,Randall,,Chicago Bulls,
192,665,Mitchell,,,Wiggins,,Philadelphia 76ers,
193,666,Tharon,,,Mayes,,Philadelphia 76ers,
194,667,Charles,,,Thomas,,Detroit Pistons,
195,668,Robert,,,Pack,,Portland Trail Blazers,
196,669,John,,,Bagley,,Boston Celtics,
197,670,Rick,,,Fox,,Boston Celtics,
198,671,Larry,,,Johnson,,Charlotte Hornets,
199,672,Alexander,,,Volkov,,Atlanta Hawks,
200,673,Stacey,,,Augmon,,Atlanta Hawks,
201,674,Carl,,,Thomas,,Sacramento Kings,
202,675,Steven,,,Smith,,Miami Heat,
203,676,Stanley,,,Roberts,,Orlando Magic,
204,677,Doug,,,Lee,,Brooklyn Nets,
205,678,Rafael,,,Addison,,Brooklyn Nets,
206,679,Sean,,,Green,,Indiana Pacers,
207,680,Corey,,,Crowder,,Utah Jazz,
208,681,Eric,,,Murdock,,Utah Jazz,
209,682,Kevin,,,Brooks,,Denver Nuggets,
210,683,Carlton,,,McKinney,,New York Knicks,
211,684,Billy,,,Owens,,Golden State Warriors,
212,685,Doug,,,Smith,,Dallas Mavericks,
213,686,Marty,,,Conlon,,Oklahoma City Thunder,
214,687,Rich,,,King,,Oklahoma City Thunder,
215,688,Brad,,,Sellers,,Detroit Pistons,
216,689,Rodney,,,Monroe,,Atlanta Hawks,
217,690,Lanard,,,Copeland,,LA Clippers,
218,691,LeRon,,,Ellis,,LA Clippers,
219,692,Larry,,,Stewart,,Washington Wizards,
220,693,John,,,Turner,,Houston Rockets,
221,694,Charles,,,Shackleford,,Philadelphia 76ers,
222,695,Keith,,,Owens,,Los Angeles Lakers,
223,696,Paul,,,Graham,,Atlanta Hawks,
224,697,Kenny,,,Anderson,,Brooklyn Nets,
225,698,Carl,,,Herrera,,Houston Rockets,
226,699,Myron,,,Brown,,Minnesota Timberwolves,
227,700,Dale,,,Davis,,Indiana Pacers,
228,701,Labradford,,,Smith,,Washington Wizards,
229,702,Bison,,,Dele,,Orlando Magic,
230,703,Chuck,,,Nevitt,,Chicago Bulls,
231,704,Patrick,,,Eddie,,New York Knicks,
232,705,David,,,Rivers,,LA Clippers,
233,706,Luc,,,Longley,,Minnesota Timberwolves,
234,707,Bob,,,McCann,,Detroit Pistons,
235,708,Donald,,,Royal,,San Antonio Spurs,
236,709,Anthony,,,Bowie,,Orlando Magic,
237,710,Chris,,,Corchiani,,Orlando Magic,
238,711,Stephen,,,Thompson,,Orlando Magic,
239,712,Jeff,,,Ruland,,Philadelphia 76ers,
240,713,Ronnie,,,Grandison,,Charlotte Hornets,
241,714,Lamont,,,Strothers,,Portland Trail Blazers,
242,715,Tracy,,,Moore,,Dallas Mavericks,
243,716,Jaren,,,Jackson,,Golden State Warriors,
244,717,Ennis,,,Whatley,,Portland Trail Blazers,
245,718,Brian,,,Howard,,Dallas Mavericks,
246,719,Steve,,,Burtt,,Phoenix Suns,
247,720,Cedric,,,Hunter,,Charlotte Hornets,
248,721,Stephen,,,Bardo,,San Antonio Spurs,
249,722,Cliff,,,T. Robinson,,Los Angeles Lakers,
250,723,Derek,,,Strong,,Washington Wizards,
251,724,Bobby,,,Phills,,Cleveland Cavaliers,
252,725,Anthony,,,Avent,,Milwaukee Bucks,
253,726,Lee,,,Mayberry,,Milwaukee Bucks,
254,727,Todd,,,Day,,Milwaukee Bucks,
255,728,Tony,,,Bennett,,Charlotte Hornets,
256,729,Brent,,,Price,,Washington Wizards,
257,730,Don,,,MacLean,,Washington Wizards,
258,731,Tom,,,Gugliotta,,Washington Wizards,
259,732,Walt,,,Williams,,Sacramento Kings,
260,733,Lloyd,,,Daniels,,San Antonio Spurs,
261,734,Vinny,,,Del Negro,,San Antonio Spurs,
262,735,Shaquille,,,O'Neal,,Orlando Magic,
263,736,Adam,,,Keefe,,Atlanta Hawks,
264,737,Clar.,,,Weatherspoon,,Philadelphia 76ers,
265,738,Robert,,,Horry,,Houston Rockets,
266,739,Chris,,,Smith,,Minnesota Timberwolves,
267,740,Christian,,,Laettner,,Minnesota Timberwolves,
268,741,Gundars,,,Vetra,,Minnesota Timberwolves,
269,742,Corey,,,Williams,,Chicago Bulls,
270,743,Elmore,,,Spencer,,LA Clippers,
271,744,Anthony,,,Peeler,,Los Angeles Lakers,
272,745,Duane,,,Cooper,,Los Angeles Lakers,
273,746,John,,,Crotty,,Utah Jazz,
274,747,Stephen,,,Howard,,Utah Jazz,
275,748,Byron,,,Houston,,Golden State Warriors,
276,749,Keith,,,Jennings,,Golden State Warriors,
277,750,Latrell,,,Sprewell,,Golden State Warriors,
278,751,Bryant,,,Stith,,Denver Nuggets,
279,752,LaPhonso,,,Ellis,,Denver Nuggets,
280,753,Matt,,,Othick,,San Antonio Spurs,
281,754,Sam,,,Mack,,San Antonio Spurs,
282,755,Anthony,,,Pullard,,Milwaukee Bucks,
283,756,Malik,,,Sealy,,Indiana Pacers,
284,757,Hubert,,,Davis,,New York Knicks,
285,758,Sean,,,Rooks,,Dallas Mavericks,
286,759,Walter,,,Bond,,Dallas Mavericks,
287,760,Harold,,,Miner,,Miami Heat,
288,761,Oliver,,,Miller,,Phoenix Suns,
289,762,Lorenzo,,,Williams,,Charlotte Hornets,
290,763,Dave,,,Johnson,,Portland Trail Blazers,
291,764,Reggie,,,Smith,,Portland Trail Blazers,
292,765,Tracy,,,Murray,,Portland Trail Blazers,
293,766,Robert,,,Werdann,,Denver Nuggets,
294,767,Alex,,,Stivrins,,Phoenix Suns,
295,768,Frank,,,Johnson,,Phoenix Suns,
296,769,Randy,,,Woods,,LA Clippers,
297,770,Litterial,,,Green,,Orlando Magic,
298,771,Alonzo,,,Mourning,,Charlotte Hornets,
299,772,Alex,,,Blackwell,,Los Angeles Lakers,
300,773,Isaiah,,,Morris,,Detroit Pistons,
301,774,Doug,,,Overton,,Washington Wizards,
302,775,Eric,,,Anderson,,New York Knicks,
303,776,Tim,,,Kempton,,Phoenix Suns,
304,777,Stan,,,Kimbrough,,Sacramento Kings,
305,778,Jay,,,Guidinger,,Cleveland Cavaliers,
306,779,Gary,,,Plummer,,Denver Nuggets,
307,780,Matt,,,Geiger,,Miami Heat,
308,781,Marcus,,,Webb,,Boston Celtics,
309,782,Jojo,,,English,,Chicago Bulls,
310,783,Marlon,,,Maxey,,Minnesota Timberwolves,
311,784,Jon,,,Barry,,Milwaukee Bucks,
312,785,Richard,,,Dumas,,Phoenix Suns,
313,786,Radisav,,,Curcic,,Dallas Mavericks,
314,787,Andre,,,Spencer,,Atlanta Hawks,
315,788,Dexter,,,Cambridge,,Dallas Mavericks,
316,789,Joe,,,Courtney,,Chicago Bulls,
317,790,Duane,,,Washington,,LA Clippers,
318,791,Melvin,,,Newbern,,Detroit Pistons,
319,792,Ricky,,,Blanton,,Chicago Bulls,
320,793,Jim,,,Jackson,,Dallas Mavericks,
321,794,Barry,,,Stevens,,Golden State Warriors,
322,795,Doug,,,Christie,,Los Angeles Lakers,
323,796,Pat,,,Durham,,Golden State Warriors,
324,797,Thomas,,,Jordan,,Philadelphia 76ers,
325,798,Gary,,,Alexander,,Miami Heat,
326,799,Anfernee,,,Hardaway,,Orlando Magic,
327,800,Keith,,,Tower,,Orlando Magic,
328,801,Chris,,,Whitney,,San Antonio Spurs,
329,802,Josh,,,Grant,,Golden State Warriors,
330,803,Bobby,,,Hurley,,Sacramento Kings,
331,804,Mike,,,Peplowski,,Sacramento Kings,
332,805,Darnell,,,Mee,,Denver Nuggets,
333,806,Rodney,,,Rogers,,Denver Nuggets,
334,807,Acie,,,Earl,,Boston Celtics,
335,808,Dino,,,Radja,,Boston Celtics,
336,809,Chris,,,Mills,,Cleveland Cavaliers,
337,810,Vin,,,Baker,,Milwaukee Bucks,
338,811,Antonio,,,Harvey,,Los Angeles Lakers,
339,812,Nick,,,Van Exel,,Los Angeles Lakers,
340,813,Terry,,,Dehere,,LA Clippers,
341,814,James,,,Robinson,,Portland Trail Blazers,
342,815,Corie,,,Blount,,Chicago Bulls,
343,816,Toni,,,Kukoc,,Chicago Bulls,
344,817,Michael,,,Curry,,Philadelphia 76ers,
345,818,Shawn,,,Bradley,,Philadelphia 76ers,
346,819,Warren,,,Kidd,,Philadelphia 76ers,
347,820,Calbert,,,Cheaney,,Washington Wizards,
348,821,Mitchell,,,Butler,,Washington Wizards,
349,822,Tito,,,Horford,,Washington Wizards,
350,823,Bryon,,,Russell,,Utah Jazz,
351,824,Luther,,,Wright,,Utah Jazz,
352,825,Darren,,,Morningstar,,Dallas Mavericks,
353,826,Jamal,,,Mashburn,,Dallas Mavericks,
354,827,Lucious,,,Harris,,Dallas Mavericks,
355,828,Popeye,,,Jones,,Dallas Mavericks,
356,829,Eric,,,Riley,,Houston Rockets,
357,830,Sam,,,Cassell,,Houston Rockets,
358,831,P.J.,,,Brown,,Brooklyn Nets,
359,832,Rex,,,Walters,,Brooklyn Nets,
360,833,Antonio,,,Davis,,Indiana Pacers,
361,834,Allan,,,Houston,,Detroit Pistons,
362,835,Lindsey,,,Hunter,,Detroit Pistons,
363,836,Brian,,,Davis,,Minnesota Timberwolves,
364,837,Isaiah,,,Rider,,Minnesota Timberwolves,
365,838,Matt,,,Wenstrom,,Boston Celtics,
366,839,Scott,,,Haskin,,Indiana Pacers,
367,840,Gerald,,,Madkins,,Cleveland Cavaliers,
368,841,Greg,,,Graham,,Philadelphia 76ers,
369,842,Ervin,,,Johnson,,Oklahoma City Thunder,
370,843,George,,,Lynch,,Los Angeles Lakers,
371,844,Bob,,,Martin,,LA Clippers,
372,845,Ricky,,,Grace,,Atlanta Hawks,
373,846,Sedric,,,Toney,,Cleveland Cavaliers,
374,847,Chris,,,Webber,,Golden State Warriors,
375,848,Gheorghe,,,Muresan,,Washington Wizards,
376,849,Richard,,,Petruska,,Houston Rockets,
377,850,Kevin,,,Thompson,,Portland Trail Blazers,
378,851,Adonis,,,Jordan,,Denver Nuggets,
379,852,Scott,,,Burrell,,Charlotte Hornets,
380,853,Dell,,,Demps,,Golden State Warriors,
381,854,Evers,,,Burns,,Sacramento Kings,
382,855,Aaron,,,Williams,,Utah Jazz,
383,856,Stanley,,,Jackson,,Minnesota Timberwolves,
384,857,David,,,Wesley,,Brooklyn Nets,
385,858,Chris,,,King,,Oklahoma City Thunder,
386,859,Doug,,,Edwards,,Atlanta Hawks,
387,860,Harold,,,Ellis,,LA Clippers,
388,861,Malcolm,,,Mackey,,Phoenix Suns,
389,862,Ben,,,Coleman,,Detroit Pistons,
390,863,Roy,,,Marble,,Denver Nuggets,
391,864,Reggie,,,Jordan,,Los Angeles Lakers,
392,865,Chad,,,Gallagher,,Utah Jazz,
393,866,Bo,,,Outlaw,,LA Clippers,
394,867,Bill,,,Edwards,,Philadelphia 76ers,
395,868,Andrew,,,Gaze,,Washington Wizards,
396,869,Alphonso,,,Ford,,Oklahoma City Thunder,
397,870,Andres,,,Guibert,,Minnesota Timberwolves,
398,871,Skeeter,,,Henry,,Phoenix Suns,
399,872,Chris,,,Jent,,Houston Rockets,
400,873,Geert,,,Hammink,,Orlando Magic,
401,874,Jalen,,,Rose,,Denver Nuggets,
402,875,Reggie,,,Slater,,Denver Nuggets,
403,876,Askia,,,Jones,,Minnesota Timberwolves,
404,877,Donyell,,,Marshall,,Minnesota Timberwolves,
405,878,Howard,,,Eisley,,Minnesota Timberwolves,
406,879,Grant,,,Hill,,Detroit Pistons,
407,880,Anthony,,,Miller,,Los Angeles Lakers,
408,881,Eddie,,,Jones,,Los Angeles Lakers,
409,882,Dickey,,,Simpkins,,Chicago Bulls,
410,883,Eric,,,Piatkowski,,LA Clippers,
411,884,Lamond,,,Murray,,LA Clippers,
412,885,Matt,,,Fish,,LA Clippers,
413,886,Aaron,,,McKie,,Portland Trail Blazers,
414,887,Eric,,,Montross,,Boston Celtics,
415,888,Fred,,,Vinson,,Atlanta Hawks,
416,889,Tom,,,Hovasse,,Atlanta Hawks,
417,890,Jamie,,,Watson,,Utah Jazz,
418,891,Khalid,,,Reeves,,Miami Heat,
419,892,Brian,,,Grant,,Sacramento Kings,
420,893,Henry,,,Turner,,Sacramento Kings,
421,894,Michael,,,Smith,,Sacramento Kings,
422,895,Antonio,,,Lang,,Phoenix Suns,
423,896,Wesley,,,Person,,Phoenix Suns,
424,897,B.J.,,,Tyler,,Philadelphia 76ers,
425,898,Derrick,,,Alston,,Philadelphia 76ers,
426,899,Sharone,,,Wright,,Philadelphia 76ers,
427,900,Eric,,,Mobley,,Milwaukee Bucks,
428,901,Darrin,,,Hancock,,Charlotte Hornets,
429,902,Bill,,,Curley,,Detroit Pistons,
430,903,Anthony,,,Tucker,,Washington Wizards,
431,904,Tim,,,Breaux,,Houston Rockets,
432,905,Zan,,,Tabak,,Houston Rockets,
433,906,Brooks,,,Thompson,,Orlando Magic,
434,907,Glenn,,,Robinson,,Milwaukee Bucks,
435,908,Jason,,,Kidd,,Dallas Mavericks,
436,909,Tony,,,Dumas,,Dallas Mavericks,
437,910,Monty,,,Williams,,New York Knicks,
438,911,Carlos,,,Rogers,,Golden State Warriors,
439,912,Sergei,,,Bazarevich,,Atlanta Hawks,
440,913,Julius,,,Nwosu,,San Antonio Spurs,
441,914,Trevor,,,Ruffin,,Phoenix Suns,
442,915,Yinka,,,Dare,,Brooklyn Nets,
443,916,Greg,,,Minor,,Boston Celtics,
444,917,Clifford,,,Rozier,,Golden State Warriors,
445,918,Charlie,,,Ward,,New York Knicks,
446,919,Dontonio,,,Wingfield,,Oklahoma City Thunder,
447,920,Aaron,,,Swinson,,Phoenix Suns,
448,921,Jim,,,McIlvaine,,Washington Wizards,
449,922,Juwan,,,Howard,,Washington Wizards,
450,923,James,,,Blackwell,,Charlotte Hornets,
451,924,Ivano,,,Newbill,,Detroit Pistons,
452,925,Dwayne,,,Morton,,Golden State Warriors,
453,926,Chris,,,Childs,,Brooklyn Nets,
454,927,Ryan,,,Lorthridge,,Golden State Warriors,
455,928,Elmer,,,Bennett,,Cleveland Cavaliers,
456,929,Darrick,,,Martin,,Minnesota Timberwolves,
457,930,Jerome,,,Harmon,,Philadelphia 76ers,
458,931,Mark,,,Strickland,,Indiana Pacers,
459,932,Eldridge,,,Recasner,,Denver Nuggets,
460,933,Darrell,,,Armstrong,,Orlando Magic,
461,934,Derrick,,,Phelps,,Sacramento Kings,
462,935,Cherokee,,,Parks,,Dallas Mavericks,
463,936,Loren,,,Meyer,,Dallas Mavericks,
464,937,Charles,,,Claxton,,Boston Celtics,
465,938,Eric,,,Williams,,Boston Celtics,
466,939,Junior,,,Burrough,,Boston Celtics,
467,940,Brent,,,Barry,,LA Clippers,
468,941,Chris,,,Carr,,Phoenix Suns,
469,942,Michael,,,Finley,,Phoenix Suns,
470,943,Greg,,,Ostertag,,Utah Jazz,
471,944,Eric,,,Snow,,Oklahoma City Thunder,
472,945,Sherell,,,Ford,,Oklahoma City Thunder,
473,946,Jerry,,,Stackhouse,,Philadelphia 76ers,
474,947,Jeff,,,Webster,,Washington Wizards,
475,948,Rasheed,,,Wallace,,Washington Wizards,
476,949,Arvydas,,,Sabonis,,Portland Trail Blazers,
477,950,Gary,,,Trent,,Portland Trail Blazers,
478,951,Randolph,,,Childress,,Portland Trail Blazers,
479,952,Bryant,,,Reeves,,Memphis Grizzlies,
480,953,Lawrence,,,Moten,,Memphis Grizzlies,
481,954,Jason,,,Caffey,,Chicago Bulls,
482,955,George,,,Zidek,,Charlotte Hornets,
483,956,Alvin,,,Heggs,,Houston Rockets,
484,957,Joe,,,Smith,,Golden State Warriors,
485,958,Alan,,,Henderson,,Atlanta Hawks,
486,959,Travis,,,Best,,Indiana Pacers,
487,960,Damon,,,Stoudamire,,Toronto Raptors,
488,961,Jimmy,,,King,,Toronto Raptors,
489,962,Ed,,,O'Bannon,,Brooklyn Nets,
490,963,Lou,,,Roe,,Detroit Pistons,
491,964,Theo,,,Ratliff,,Detroit Pistons,
492,965,Antonio,,,McDyess,,Denver Nuggets,
493,966,Bob,,,Sura,,Cleveland Cavaliers,
494,967,Donny,,,Marshall,,Cleveland Cavaliers,
495,968,John,,,Amaechi,,Cleveland Cavaliers,
496,969,Tyus,,,Edney,,Sacramento Kings,
497,970,Jerome,,,Allen,,Minnesota Timberwolves,
498,971,Kevin,,,Garnett,,Minnesota Timberwolves,
499,972,Mark,,,Davis,,Minnesota Timberwolves,
500,973,Marques,,,Bragg,,Minnesota Timberwolves,
501,974,Shawn,,,Respert,,Milwaukee Bucks,
502,975,Fred,,,Hoiberg,,Indiana Pacers,
503,976,Frankie,,,King,,Los Angeles Lakers,
504,977,Don,,,Reid,,Detroit Pistons,
505,978,Kurt,,,Thomas,,Miami Heat,
506,979,Sasha,,,Danilovic,,Miami Heat,
507,980,Terrence,,,Rencher,,Miami Heat,
508,981,Cory,,,Alexander,,San Antonio Spurs,
509,982,Howard,,,Nathan,,Atlanta Hawks,
510,983,Todd,,,Mundt,,Atlanta Hawks,
511,984,David,,,Vaughn,,Orlando Magic,
512,985,Log,,,Vander Velden,,LA Clippers,
513,986,Ashraf,,,Amaya,,Memphis Grizzlies,
514,987,Stefano,,,Rusconi,,Phoenix Suns,
515,988,Larry,,,Sykes,,Boston Celtics,
516,989,Vincenzo,,,Esposito,,Toronto Raptors,
517,990,Corliss,,,Williamson,,Sacramento Kings,
518,991,Rastko,,,Cvetkovic,,Denver Nuggets,
519,992,Corey,,,Beck,,Charlotte Hornets,
520,993,Voshon,,,Lenard,,Miami Heat,
